timestamp,naclo3_feed_m3h,naclo3_concentration_gpl,nacl_concentration_gpl,hcl_feed_m3h,hcl_concentration_pct,generator_temperature_c,absorber_water_temperature_c,absorber_water_rate_m3h,actual_clo2_gpl,operator_notes
2026-05-25T20:45:28Z,17.48,475.0,92.0,4.06,31.3,46.2,8.1,107.5,9.5,Real DCS Shift Data
2026-05-26T04:45:28Z,17.47,479.0,93.0,4.06,31.3,46.2,8.8,106.4,9.4,Real DCS Shift Data
2026-05-26T12:45:28Z,17.55,472.0,94.0,4.06,31.4,46.1,8.2,106.8,9.5,Real DCS Shift Data
2026-05-26T20:45:28Z,17.57,475.0,94.0,4.06,31.4,46.1,8.1,107.1,9.5,Real DCS Shift Data
2026-05-27T04:45:28Z,17.36,471.0,94.0,4.06,31.3,46.2,9.3,107.1,9.4,Real DCS Shift Data
2026-05-27T12:45:28Z,17.5,465.0,97.0,4.06,31.3,46.1,7.9,106.7,9.6,Real DCS Shift Data
2026-05-27T20:45:28Z,17.53,468.0,97.0,4.06,31.4,46.2,8.4,107.0,9.7,Real DCS Shift Data
2026-05-28T04:45:28Z,17.41,472.0,100.0,4.06,31.4,46.1,8.6,106.6,9.7,Real DCS Shift Data
2026-05-28T12:45:28Z,17.47,455.0,102.0,4.06,31.3,46.1,8.3,107.0,9.7,Real DCS Shift Data
2026-05-28T20:45:28Z,17.69,453.0,101.0,4.06,31.3,46.2,8.5,107.1,9.4,Real DCS Shift Data
2026-05-29T04:45:28Z,17.52,457.0,104.0,4.06,31.4,46.1,8.7,106.9,9.5,Real DCS Shift Data
2026-05-29T12:45:28Z,17.44,462.0,104.0,4.06,31.4,46.1,8.9,107.0,9.4,Real DCS Shift Data
2026-05-29T20:45:28Z,17.43,444.0,105.0,4.06,31.4,46.1,8.8,106.8,9.5,Real DCS Shift Data
2026-05-30T04:45:28Z,17.55,451.0,104.0,4.06,31.4,46.1,8.9,107.0,9.4,Real DCS Shift Data
2026-05-30T12:45:28Z,17.49,454.0,103.0,4.06,31.4,46.2,8.4,107.2,9.7,Real DCS Shift Data
2026-05-30T20:45:28Z,17.43,451.0,106.0,4.06,31.3,46.1,8.4,107.0,9.5,Real DCS Shift Data
2026-05-31T04:45:28Z,17.51,453.0,104.0,4.06,31.3,46.2,8.8,106.9,9.4,Real DCS Shift Data
2026-05-31T12:45:28Z,17.53,455.0,102.0,4.06,31.4,46.2,8.5,106.7,9.4,Real DCS Shift Data
2026-05-31T20:45:28Z,17.38,453.0,97.0,4.11,31.9,46.2,8.1,105.0,9.7,Real DCS Shift Data
2026-06-01T04:45:28Z,17.37,456.0,97.0,4.11,31.9,46.3,9.0,104.9,9.8,Real DCS Shift Data
2026-06-01T12:45:28Z,17.29,459.0,97.0,4.11,31.7,46.3,8.0,105.2,9.6,Real DCS Shift Data
2026-06-01T20:45:28Z,17.32,451.0,94.0,4.11,31.8,46.2,8.1,106.4,10.0,Real DCS Shift Data
2026-06-02T04:45:28Z,17.28,459.0,97.0,4.11,31.8,46.2,8.5,106.2,9.7,Real DCS Shift Data
2026-06-02T12:45:28Z,17.34,464.0,98.0,4.11,31.8,46.2,8.2,105.3,9.7,Real DCS Shift Data
2026-06-02T20:45:28Z,17.25,456.0,97.0,4.11,31.7,44.7,8.0,107.1,9.6,Real DCS Shift Data
2026-06-03T04:45:28Z,17.22,460.0,97.0,4.11,31.8,46.2,8.4,106.1,9.7,Real DCS Shift Data
2026-06-03T12:45:28Z,17.28,458.0,99.0,4.11,31.7,46.1,8.2,106.1,9.7,Real DCS Shift Data
2026-06-03T20:45:28Z,17.33,468.0,93.0,4.11,30.9,46.2,8.2,105.7,9.6,Real DCS Shift Data
2026-06-04T04:45:28Z,17.28,465.0,94.0,4.11,31.6,46.2,8.7,106.9,9.7,Real DCS Shift Data
2026-06-04T12:45:28Z,17.37,463.0,91.0,4.1,31.8,46.2,8.4,106.9,9.5,Real DCS Shift Data
2026-06-04T20:45:28Z,17.24,472.0,106.0,4.1,31.3,45.7,8.5,105.1,9.0,Real DCS Shift Data
2026-06-05T04:45:28Z,17.36,462.0,104.0,4.21,31.3,45.7,8.6,104.8,9.6,Real DCS Shift Data
2026-06-05T12:45:28Z,17.44,462.0,107.0,4.26,31.3,44.2,8.4,105.2,9.6,Real DCS Shift Data
2026-06-05T20:45:28Z,17.33,451.0,109.0,4.26,31.3,45.7,8.1,105.6,9.4,Real DCS Shift Data
2026-06-06T04:45:28Z,17.31,439.0,111.0,4.2,31.2,45.7,8.3,106.0,9.6,Real DCS Shift Data
2026-06-06T12:45:28Z,17.43,435.0,114.0,4.2,31.0,45.7,7.7,105.8,9.5,Real DCS Shift Data
2026-06-06T20:45:28Z,17.34,436.0,117.0,4.2,31.2,45.7,7.8,106.0,9.6,Real DCS Shift Data
